Framework,Item,Predicted,Median,Q1,Q3,In_Range
LUCAS,A,0,2.0,2.0,2.0,✗
LUCAS,B,0,1.0,0.0,2.0,✓
LUCAS,C,2,2.0,2.0,2.0,✓
LUCAS,D,1,1.5,1.0,2.0,✓
LUCAS,E,2,1.5,1.0,2.0,✓
LUCAS,F,2,2.0,2.0,2.0,✓
LUCAS,G,1,0.5,0.0,1.0,✓
LUCAS,H,2,0.5,0.0,1.0,✗
LUCAS,I,0,2.0,2.0,2.0,✗
LUCAS,J,2,2.0,2.0,2.0,✓
GSLP,LP_GS_1,2,1.5,1.0,2.0,✓
GSLP,LP_GS_2,1,1.5,1.0,2.0,✓
GSLP,LP_GS_3,2,1.5,1.0,2.0,✓
GSLP,LP_GS_4,2,1.5,1.0,2.0,✓
GSLP,LP_GS_5,2,1.5,1.0,2.0,✓
GSLP,LP_GS_6,2,1.0,1.0,1.0,✗
GSLP,LP_GS_7,2,1.5,1.0,2.0,✓
GSLP,LP_GS_8,2,2.0,2.0,2.0,✓
GSLP,LP_GS_9,2,2.0,2.0,2.0,✓
LP_Aufklaerung,LP_A,2,2.0,2.0,2.0,✓
LP_Aufklaerung,LP_B,1,1.5,1.0,2.0,✓
LP_Aufklaerung,LP_C,2,1.0,1.0,1.0,✗
LP_Aufklaerung,LP_D,2,1.5,1.0,2.0,✓
LP_Aufklaerung,LP_E,2,1.0,1.0,1.0,✗
LP_Aufklaerung,LP_F,2,1.0,1.0,1.0,✗
LP_Aufklaerung,LP_G,2,2.0,2.0,2.0,✓
LP_Aufklaerung,LP_H,2,0.5,0.0,1.0,✗
LP_Aufklaerung,LP_I,2,2.0,2.0,2.0,✓
